season,stat,n,n_dropped_new_side,n_dropped_old_side,mae_old_projectpy,mae_new_ridge,ridge_alpha
2021,targets,2488,170,3365,2.1602,2.1602,562.341325190349
2021,carries,1429,102,1334,3.9323,3.8586,316.22776601683796
2021,receiving_yards,2488,170,3365,22.8964,23.0854,1000.0
2021,rushing_yards,1429,102,1334,21.5329,22.0172,562.341325190349
2022,targets,2392,181,3535,2.1387,2.1078,562.341325190349
2022,carries,1456,136,1371,3.6494,3.5652,316.22776601683796
2022,receiving_yards,2392,181,3535,22.7449,22.7123,1000.0
2022,rushing_yards,1456,136,1371,22.2267,22.3603,562.341325190349
2023,targets,2419,176,3487,2.1113,2.1038,316.22776601683796
2023,carries,1455,110,1277,3.7061,3.5644,562.341325190349
2023,receiving_yards,2419,176,3487,22.9736,22.9317,562.341325190349
2023,rushing_yards,1455,110,1277,20.4443,20.3506,562.341325190349
2024,targets,2362,170,3482,2.1623,2.1186,562.341325190349
2024,carries,1490,128,1241,3.529,3.5042,562.341325190349
2024,receiving_yards,2362,170,3482,23.0767,22.9018,1000.0
2024,rushing_yards,1490,128,1241,21.3412,21.6396,562.341325190349
2025,targets,2379,164,3503,2.0716,2.0266,562.341325190349
2025,carries,1502,111,1209,3.4534,3.2872,562.341325190349
2025,receiving_yards,2379,164,3503,22.3963,22.5471,1000.0
2025,rushing_yards,1502,111,1209,20.9815,20.8352,562.341325190349
